sigma_theta_deg,source,theta_rel_deg,case,sigma_tau_s,crb_r_m,crb_z_m,corr_rz,cond_F,sv_min,cond_J,sigma_u_rc2_component,sigma_u_array_component,u_error_dominated_by
0.1,S0,30.0,A_ideal_elev+delay,0.00023460321322941465,77135.84947869177,311.5964328912525,0.9901852199499716,3137382.0500375414,1.1313256423213635e-07,254.40968571042845,,,n/a
0.1,S0,30.0,B_hla_u+delay,0.00023460321322941465,15155482.611246767,60621.01158208617,0.9999997367176625,118701254133.34036,5.540206182115375e-10,9629.614207899556,0.0008726646259971647,0.008353894298932244,array_spatial
0.1,S0,30.0,C_delay_only,0.00023460321322941465,768313233003.2277,3073203922.5789356,1.0,inf,5.333205336141794e-06,1.0,,,n/a
0.1,S0,60.0,A_ideal_elev+delay,0.00023460321322941465,77135.84947869177,311.5964328912525,0.9901852199499716,3137382.0500375414,1.1313256423213635e-07,254.40968571042845,,,n/a
0.1,S0,60.0,B_hla_u+delay,0.00023460321322941465,26531887.403928638,106125.88454047813,0.9999999140935935,363790934073.27264,3.1993588928166584e-10,16671.48140956344,0.0015114994701951815,0.008353894298932244,array_spatial
0.1,S0,60.0,C_delay_only,0.00023460321322941465,768313233003.2277,3073203922.5789356,1.0,inf,5.333205336141794e-06,1.0,,,n/a
0.1,S1,0.0,A_ideal_elev+delay,0.0002959190594404395,77135.84947970603,313.33371924120263,0.9846945749598474,1995138.6659527868,1.1313256423213635e-07,254.40968571042845,,,n/a
0.1,S1,0.0,B_hla_u+delay,0.0002959190594404395,13054010.052235452,52215.29595763074,0.9999994353876634,55351071820.502495,6.396560003308854e-10,8341.365524283801,0.0,0.008353894298932244,array_spatial
0.1,S1,0.0,C_delay_only,0.0002959190594404395,inf,inf,,inf,5.333205336141794e-06,1.0,,,n/a
0.1,S1,30.0,A_ideal_elev+delay,0.0002959190594404395,77135.84947970603,313.33371924120263,0.9846945749598474,1995138.6659527868,1.1313256423213635e-07,254.40968571042845,,,n/a
0.1,S1,30.0,B_hla_u+delay,0.0002959190594404395,15155484.967689063,60621.0493063213,0.9999995811109121,74606679530.75606,5.540206182115375e-10,9629.614207899556,0.0008726646259971647,0.008353894298932244,array_spatial
0.1,S1,30.0,C_delay_only,0.0002959190594404395,inf,inf,,inf,5.333205336141794e-06,1.0,,,n/a
0.1,S1,60.0,A_ideal_elev+delay,0.0002959190594404395,77135.84947970603,313.33371924120263,0.9846945749598474,1995138.6659527868,1.1313256423213635e-07,254.40968571042845,,,n/a
0.1,S1,60.0,B_hla_u+delay,0.0002959190594404395,26531888.73039191,106125.90601093172,0.9999998633205232,228651632282.9713,3.1993588928166584e-10,16671.48140956344,0.0015114994701951815,0.008353894298932244,array_spatial
0.1,S1,60.0,C_delay_only,0.0002959190594404395,inf,inf,,inf,5.333205336141794e-06,1.0,,,n/a
0.1,S2,0.0,A_ideal_elev+delay,0.00026257901356076203,77135.84947912858,312.345435266074,0.9878105292325764,2517075.639553873,1.1313256423213635e-07,254.40968571042845,,,n/a
0.1,S2,0.0,B_hla_u+delay,0.00026257901356076203,13054008.48601739,52215.270886602986,0.9999995554455033,70299414736.33932,6.396560003308854e-10,8341.365524283801,0.0,0.008353894298932244,array_spatial
0.1,S2,0.0,C_delay_only,0.00026257901356076203,0.0,0.0,-1.0000000000000002,9.512544918210436e+17,5.333205336141794e-06,1.0,,,n/a
0.1,S2,30.0,A_ideal_elev+delay,0.00026257901356076203,77135.84947912858,312.345435266074,0.9878105292325764,2517075.639553873,1.1313256423213635e-07,254.40968571042845,,,n/a
0.1,S2,30.0,B_hla_u+delay,0.00026257901356076203,15155483.619686827,60621.02771582926,0.9999996701826,94755273492.95062,5.540206182115375e-10,9629.614207899556,0.0008726646259971647,0.008353894298932244,array_spatial
0.1,S2,30.0,C_delay_only,0.00026257901356076203,0.0,0.0,-1.0000000000000002,9.512544918210436e+17,5.333205336141794e-06,1.0,,,n/a
0.1,S2,60.0,A_ideal_elev+delay,0.00026257901356076203,77135.84947912858,312.345435266074,0.9878105292325764,2517075.639553873,1.1313256423213635e-07,254.40968571042845,,,n/a
0.1,S2,60.0,B_hla_u+delay,0.00026257901356076203,26531887.951142922,106125.89364106668,0.9999998923838187,290402237428.7187,3.1993588928166584e-10,16671.48140956344,0.0015114994701951815,0.008353894298932244,array_spatial
0.1,S2,60.0,C_delay_only,0.00026257901356076203,0.0,0.0,-1.0000000000000002,9.512544918210436e+17,5.333205336141794e-06,1.0,,,n/a
0.2,S0,0.0,A_ideal_elev+delay,0.00023460321322941465,77135.84947869177,311.5964328912525,0.9901852199499716,3137382.0500375414,1.1313256423213635e-07,254.40968571042845,,,n/a
0.2,S0,0.0,B_hla_u+delay,0.00023460321322941465,13054007.312749805,52215.252145662416,0.9999996451267494,88065065336.10303,6.396560003308854e-10,8341.365524283801,0.0,0.008353894298932244,array_spatial
0.2,S0,0.0,C_delay_only,0.00023460321322941465,768313233003.2277,3073203922.5789356,1.0,inf,5.333205336141794e-06,1.0,,,n/a
0.2,S0,30.0,A_ideal_elev+delay,0.00023460321322941465,77135.84947869177,311.5964328912525,0.9901852199499716,3137382.0500375414,1.1313256423213635e-07,254.40968571042845,,,n/a
0.2,S0,30.0,B_hla_u+delay,0.00023460321322941465,15398906.265293384,61594.689913794406,0.9999997449757128,122545006911.49223,5.540206182115375e-10,9629.614207899556,0.0017453292519943294,0.008353894298932244,array_spatial
0.2,S0,30.0,C_delay_only,0.00023460321322941465,768313233003.2277,3073203922.5789356,1.0,inf,5.333205336141794e-06,1.0,,,n/a
0.2,S0,60.0,A_ideal_elev+delay,0.00023460321322941465,77135.84947869177,311.5964328912525,0.9901852199499716,3137382.0500375414,1.1313256423213635e-07,254.40968571042845,,,n/a
0.2,S0,60.0,B_hla_u+delay,0.00023460321322941465,27764725.810293417,111057.15831078104,0.9999999215532256,398384570649.2216,3.1993588928166584e-10,16671.48140956344,0.003022998940390363,0.008353894298932244,array_spatial
0.2,S0,60.0,C_delay_only,0.00023460321322941465,768313233003.2277,3073203922.5789356,1.0,inf,5.333205336141794e-06,1.0,,,n/a
0.2,S1,0.0,A_ideal_elev+delay,0.0002959190594404395,77135.84947970603,313.33371924120263,0.9846945749598474,1995138.6659527868,1.1313256423213635e-07,254.40968571042845,,,n/a
0.2,S1,0.0,B_hla_u+delay,0.0002959190594404395,13054010.052235452,52215.29595763074,0.9999994353876634,55351071820.502495,6.396560003308854e-10,8341.365524283801,0.0,0.008353894298932244,array_spatial
0.2,S1,0.0,C_delay_only,0.0002959190594404395,inf,inf,,inf,5.333205336141794e-06,1.0,,,n/a
0.2,S1,30.0,A_ideal_elev+delay,0.0002959190594404395,77135.84947970603,313.33371924120263,0.9846945749598474,1995138.6659527868,1.1313256423213635e-07,254.40968571042845,,,n/a
0.2,S1,30.0,B_hla_u+delay,0.0002959190594404395,15398908.58521126,61594.72704459507,0.9999995942496674,77022551746.05728,5.540206182115375e-10,9629.614207899556,0.0017453292519943294,0.008353894298932244,array_spatial
0.2,S1,30.0,C_delay_only,0.0002959190594404395,inf,inf,,inf,5.333205336141794e-06,1.0,,,n/a
0.2,S1,60.0,A_ideal_elev+delay,0.0002959190594404395,77135.84947970603,313.33371924120263,0.9846945749598474,1995138.6659527868,1.1313256423213635e-07,254.40968571042845,,,n/a
0.2,S1,60.0,B_hla_u+delay,0.0002959190594404395,27764727.07923084,111057.17883337427,0.9999998751889998,250394404104.39206,3.1993588928166584e-10,16671.48140956344,0.003022998940390363,0.008353894298932244,array_spatial
0.2,S1,60.0,C_delay_only,0.0002959190594404395,inf,inf,,inf,5.333205336141794e-06,1.0,,,n/a
0.2,S2,0.0,A_ideal_elev+delay,0.00026257901356076203,77135.84947912858,312.345435266074,0.9878105292325764,2517075.639553873,1.1313256423213635e-07,254.40968571042845,,,n/a
0.2,S2,0.0,B_hla_u+delay,0.00026257901356076203,13054008.48601739,52215.270886602986,0.9999995554455033,70299414736.33932,6.396560003308854e-10,8341.365524283801,0.0,0.008353894298932244,array_spatial
0.2,S2,0.0,C_delay_only,0.00026257901356076203,0.0,0.0,-1.0000000000000002,9.512544918210436e+17,5.333205336141794e-06,1.0,,,n/a
0.2,S2,30.0,A_ideal_elev+delay,0.00026257901356076203,77135.84947912858,312.345435266074,0.9878105292325764,2517075.639553873,1.1313256423213635e-07,254.40968571042845,,,n/a
0.2,S2,30.0,B_hla_u+delay,0.00026257901356076203,15398907.256974056,61594.7057892257,0.9999996805275669,97823590097.1212,5.540206182115375e-10,9629.614207899556,0.0017453292519943294,0.008353894298932244,array_spatial
0.2,S2,30.0,C_delay_only,0.00026257901356076203,0.0,0.0,-1.0000000000000002,9.512544918210436e+17,5.333205336141794e-06,1.0,,,n/a
0.2,S2,60.0,A_ideal_elev+delay,0.00026257901356076203,77135.84947912858,312.345435266074,0.9878105292325764,2517075.639553873,1.1313256423213635e-07,254.40968571042845,,,n/a
0.2,S2,60.0,B_hla_u+delay,0.00026257901356076203,27764726.329495735,111057.16699242024,0.9999999017286045,318017097729.0159,3.1993588928166584e-10,16671.48140956344,0.003022998940390363,0.008353894298932244,array_spatial
0.2,S2,60.0,C_delay_only,0.00026257901356076203,0.0,0.0,-1.0000000000000002,9.512544918210436e+17,5.333205336141794e-06,1.0,,,n/a
